date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:48	562/562	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Dec%202023%2015:54:46%20GMT	https://www.finalistsporveturizm.com/robots.txt		(from )
17:54:48	45859/45859	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Dec%202023%2015:54:45%20GMT	https://www.finalistsporveturizm.com/	F:/stadiums%20heroes/www.finalistsporveturizm.com/index.html	(from )
17:54:49	160403/160403	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Jun%202020%2016:56:54%20GMT	https://www.finalistsporveturizm.com/assets/css/bootstrap.min.css	F:/stadiums%20heroes/www.finalistsporveturizm.com/assets/css/bootstrap.min.css	(from https://www.finalistsporveturizm.com/)
17:54:49	1013/1013	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Jun%202020%2016:56:54%20GMT	https://www.finalistsporveturizm.com/assets/css/owl.theme.default.min.css	F:/stadiums%20heroes/www.finalistsporveturizm.com/assets/css/owl.theme.default.min.css	(from https://www.finalistsporveturizm.com/)
17:54:50	3351/3351	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Jun%202020%2016:56:54%20GMT	https://www.finalistsporveturizm.com/assets/css/owl.carousel.min.css	F:/stadiums%20heroes/www.finalistsporveturizm.com/assets/css/owl.carousel.min.css	(from https://www.finalistsporveturizm.com/)
17:54:50	58129/58129	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Jun%202020%2016:56:54%20GMT	https://www.finalistsporveturizm.com/assets/css/animate.min.css	F:/stadiums%20heroes/www.finalistsporveturizm.com/assets/css/animate.min.css	(from https://www.finalistsporveturizm.com/)
17:54:50	61773/61773	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Jun%202020%2016:56:54%20GMT	https://www.finalistsporveturizm.com/assets/css/boxicons.min.css	F:/stadiums%20heroes/www.finalistsporveturizm.com/assets/css/boxicons.min.css	(from https://www.finalistsporveturizm.com/)
17:54:51	6976/6976	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Jun%202020%2016:56:54%20GMT	https://www.finalistsporveturizm.com/assets/css/meanmenu.css	F:/stadiums%20heroes/www.finalistsporveturizm.com/assets/css/meanmenu.css	(from https://www.finalistsporveturizm.com/)
17:54:51	3117/3117	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Jun%202020%2016:56:54%20GMT	https://www.finalistsporveturizm.com/assets/css/nice-select.min.css	F:/stadiums%20heroes/www.finalistsporveturizm.com/assets/css/nice-select.min.css	(from https://www.finalistsporveturizm.com/)
17:54:52	102112/102112	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Jan%202021%2023:05:44%20GMT	https://www.finalistsporveturizm.com/assets/css/style.css	F:/stadiums%20heroes/www.finalistsporveturizm.com/assets/css/style.css	(from https://www.finalistsporveturizm.com/)
